Symbol,Volume USD,Total Target Amount,Total Source Paid,Source Symbol,Price USD,Level,Trade Count,Decimals,Address
"ETH",812393.46,312.45902119158364,1702449.660239425,"BNT",2600.0,2,414,18,"0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"
"WETH",146032.93,58.14908977671573,57.41320799373038,"BNT",2511.3536467393055,2,48,18,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
"DAI",99238.22,99244.55554956142,36.19140234002188,"ETH",0.999936174680336,1,8,18,"0x6b175474e89094c44da98b954eedeac495271d0f"
"USDC",62251.27,62261.675423,24.782979282016232,"ETH",0.9998329101524279,1,13,6,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
"WBTC",26731.13,0.33806775,10.740677385606926,"ETH",79070.33359763755,1,14,8,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"
"USDT",21036.91,21039.318239,7.390378936679394,"ETH",0.9998856168189327,1,8,6,"0xdac17f958d2ee523a2206206994597c13d831ec7"
"MKR",17216.60,10.463151580795635,5.020053663397527,"ETH",1645.4509751420828,1,8,18,"0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2"
"LINK",12907.06,1108.8143481097366,6.33335824951275,"ETH",11.640415644120683,1,9,18,"0x514910771af9ca656af840dff83e8264ecf986ca"
"OCEAN",5436.80,37746.15316375923,4.170260718967647,"ETH",0.1440358292668697,1,6,18,"0x967da4048cd07ab37855c090aaf366e4ce1b9f48"
"TRAC",4527.35,13122.438071587248,2.926256386493814,"ETH",0.3450084977674476,1,4,18,"0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f"
"NOIA",2715.23,103599.29750815716,1.0811830257547124,"ETH",0.0,1,5,18,"0xa8c8cfb141a3bb59fea1e2ea6b79b5ecbcd7b6ca"
"GNO",2109.17,17.828451461920583,1.0731068851762464,"ETH",118.30372588100221,1,5,18,"0x6810e776880c02933d47db1b9fc05908e5386b96"
"FARM",1733.51,274.83210112666006,3.8039326548493806,"ETH",6.307519263894124,1,7,18,"0xa0246c9032bc3a600820415ae600c6388619a14d"
"0x48fb...7f94",1724.48,4461.58679444172,0.5058654348205487,"ETH",0.38651711508973335,1,10,18,"0x48fb253446873234f2febbf9bdeaa72d9d387f94"
"ENJ",1498.50,59099.8225680188,1.1928240927130664,"ETH",0.025355414502699593,1,11,18,"0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c"
"DEXE",1259.81,551.7425188040279,0.26056481899709516,"ETH",2.2833315183355105,1,1,18,"0xde4ee8057785a7e8e800db58f9784845a5c2cbd6"
"wNXM",1255.33,21.128936390169883,0.47768136803753,"ETH",59.41303125197501,1,3,18,"0x0d438f3b5175bebc262bf23753c1e53d03432bde"
"0x9929...75b8",1117.17,6722.994083005512,0.39511209453788015,"ETH",0.16617123718824572,1,5,18,"0x99295f1141d58a99e939f7be6bbe734916a875b8"
"AAVE",874.68,6.890165905113848,0.4237008855063338,"ETH",126.94628421082885,1,6,18,"0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9"
"UNI",812.43,153.95507616866394,0.3167535162441489,"ETH",5.277054617383271,1,4,18,"0x1f9840a85d5af5bf1d1762f925bdaddc4201f984"
"SNX",550.72,2622.5024072121196,0.7058088637063923,"ETH",0.20999902217861777,1,5,18,"0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f"
"SFI",480.50,2.7015266442481947,0.015163523984885848,"ETH",177.86336868740776,1,1,18,"0xb753428af26e81097e7fd17f40c88aaa3e04902c"
"VITA",377.67,1684.106547347727,1.3018198495224655,"ETH",0.22425735974214844,1,2,18,"0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321"
"MANA",377.27,4981.442095767122,0.45887233529674926,"ETH",0.07573477598775548,1,7,18,"0x0f5d2fb29fb7d3cfee444a200298f468908cc942"
"MATIC",326.85,3197.8702127329807,0.12062889294208586,"ETH",0.10220860110598533,1,1,18,"0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0"
"wstETH",319.28,0.10363400648604916,0.12482697371915222,"ETH",3080.849486360964,1,3,18,"0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0"
"REN",293.57,85821.26924281845,0.3314774027183933,"ETH",0.0034207146925950248,1,4,18,"0x408e41876cccdc0f92210600ef50372656052a38"
"sUSDS",285.23,257.47303308573873,0.12277561695444796,"ETH",1.1078132090379187,1,2,18,"0xa3931d71877c0e7a3148cb7eb4463524fec27fbd"
"AMP",210.39,474917.5450026152,0.5884589319916604,"ETH",0.00044300364561843277,1,1,18,"0xff20817765cb7f73d4bde2e66e067e58d11095c2"
"CRV",129.50,419.5527969550289,0.045187621009654864,"ETH",0.3086528493567799,1,1,18,"0xd533a949740bb3306d119cc777fa900ba034cd52"
"WOO",125.13,10920.008855618235,0.4626804406647777,"ETH",0.011458756204933624,1,2,18,"0x4691937a7508860f876c9c0a2a617e7d9e945d4b"
"PSP",112.03,117127.97223509914,0.4872844525126091,"ETH",0.000956486373964105,1,6,18,"0xcafe001067cdef266afb7eb5a286dcfd277f3de5"
"AMPL",101.60,79.358716618,0.047966139153976385,"ETH",1.28028989070949,1,1,9,"0xd46ba6d942050d489dbd938a2c909a5d5039a161"
"PAXG",98.79,0.02210313923717054,0.0550111955778674,"ETH",4469.478783331413,1,1,18,"0x45804880de22913dafe09f4980848ece6ecbaf78"
"BAT",79.80,1138.5785500851825,0.03990988333375852,"ETH",0.07008607641139031,1,5,18,"0x0d8775f648430679a709e98d2b0cb6250d2887ef"
"0x0559...800d",77.52,33412.41403389528,0.030866388084512458,"ETH",0.0,1,1,18,"0x055999b83f9cade9e3988a0f34ef72817566800d"
"sUSDe",75.69,60.76328670449784,0.034118856002727946,"ETH",1.2456855253275507,1,1,18,"0x9d39a5de30e57443bff2a8307a4256c8797a3497"
"GRT",68.47,4104.203665928406,0.19510867380529537,"ETH",0.016681732690172115,1,2,18,"0xc944e90c64b2c07662a292be6244bdf05cda44a7"
"ETH2x-FLI",65.89,17.25150153702199,0.07428032839755204,"ETH",3.819345051343032,1,1,18,"0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd"
"weETH",62.18,0.022747500175580054,0.024084858144356402,"ETH",2733.3567270276653,1,1,18,"0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee"
"sDAI",61.20,51.86510051568074,0.024926650128229276,"ETH",1.1799145059304155,1,1,18,"0x83f20f44975d03b1b09e64809b757c47f942beea"
"ONDO",44.93,124.22776901264662,0.016386366052771238,"ETH",0.36167465517661546,1,2,18,"0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3"
"rETH",44.60,0.015391068510416998,0.017532933091759923,"ETH",2897.537557934167,1,1,18,"0xae78736cd615f374d3085123a210448e74fc6393"
"0x8888...ec11",43.72,4277.853707581167,0.03751925665069667,"ETH",0.010220866563205077,1,2,18,"0x888888888889c00c67689029d7856aac1065ec11"
"0x5c87...9ff8",39.67,20454862.495006274,0.015795744240081476,"ETH",0.0,1,2,18,"0x5c872500c00565505f3624ab435c222e558e9ff8"
